frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
51,539.5427,175.43306,539.2034,168.76611,536.839,169.08441,523.4804,164.5543,518.579,166.17747,500.45255,180.92377,485.8091,194.14566,506.3967,219.01996,459.91962,241.99211,533.50977,212.04527,456.5464,273.52386,430.80402,241.04268,412.52264,245.85072,479.44098,301.70612,440.39917,316.7374,469.90167,393.11496,403.00226,404.01843
52,538.27057,171.21098,537.781,165.0564,536.10065,165.00528,524.94666,162.50958,519.31665,162.71681,512.4889,181.01447,480.11414,188.49998,527.4045,214.85193,437.23163,235.85777,557.29095,220.65817,442.59088,285.72174,438.89023,243.58623,412.6984,246.46373,484.09973,302.45242,442.758,316.65338,471.20514,393.4711,399.856,403.01755
53,534.68134,167.14426,534.6242,160.62553,531.80505,160.93079,521.6158,156.77158,513.93756,157.97499,505.76947,173.39066,478.4006,186.01808,527.2818,213.28978,440.1349,239.50183,576.8358,217.23051,438.239,289.9645,439.46265,241.11511,415.3802,246.25203,487.8348,302.76923,441.99576,318.56244,472.59726,392.9732,397.07095,401.64224
54,531.61115,158.64417,531.21906,152.5462,528.3982,152.88829,518.3224,150.24565,511.91272,151.94054,499.01367,168.21458,479.67227,180.61891,501.79782,209.8893,441.4504,237.83424,539.1899,210.29477,437.259,291.14542,437.30875,240.75655,416.33194,246.3367,489.54846,298.202,444.3512,318.5368,472.69885,391.46796,395.26797,399.33093
55,530.6008,152.25418,529.9266,146.80228,527.7085,146.49475,515.2871,146.27089,511.61002,146.76016,494.59827,165.70032,479.039,175.3193,511.4818,207.97084,440.0837,233.6123,564.0695,196.66113,435.84088,292.1256,436.1896,244.22925,418.579,249.52078,489.62674,298.15277,444.46948,321.64688,473.47345,388.21057,394.80365,399.58676
56,529.2912,145.89465,527.15704,138.90523,525.60455,140.69267,510.50568,136.67934,509.94394,142.73938,484.01746,155.35204,482.6378,178.83046,472.63538,202.74965,442.31088,237.90012,502.58655,208.93848,440.4158,290.44827,433.87195,235.66597,421.40216,247.3559,489.27686,292.7875,445.41217,324.41507,470.7558,386.65356,389.81122,399.0497
57,527.9124,142.36932,525.20685,135.66975,524.78326,137.22093,507.4953,133.60612,510.46237,139.11005,483.35095,152.50429,485.63223,173.35146,477.60403,196.5797,453.02353,233.70126,518.945,199.18306,451.98373,281.99847,436.53003,235.14563,425.15332,246.11722,491.18692,291.26944,439.48267,324.88205,485.42017,388.89594,389.2619,401.16083
58,529.0676,138.39177,527.4394,132.05373,526.02277,132.60521,511.1591,130.11676,509.7476,133.04944,487.05466,151.08081,484.32358,169.20833,477.3159,199.72672,449.33646,232.20683,515.34784,203.93445,449.2484,288.19714,443.11957,235.01952,429.2144,244.73122,490.98843,296.00848,436.43475,325.20673,496.11304,389.9215,388.5178,400.77747
59,531.3224,132.74022,529.43396,126.28751,528.6921,126.93334,511.41046,124.35668,513.17444,127.708206,486.2968,146.16963,488.9248,166.06282,475.52536,198.22475,454.08612,228.84456,512.1758,209.09476,448.62305,286.4068,444.7361,236.79784,433.8683,246.8621,488.03964,300.90787,434.02542,327.93286,507.15906,391.25662,387.77847,402.1238
60,533.4683,127.509,531.0223,121.91078,531.4607,122.37902,513.3591,121.800804,517.79193,124.59227,491.54242,146.03294,494.38583,160.47736,480.94348,201.60506,471.2996,221.71529,511.5785,211.83034,473.2251,263.6209,450.58078,240.96654,439.71292,247.17389,492.8655,306.89032,437.63568,329.16803,513.81024,394.07523,390.05087,400.859
61,537.0368,126.201485,535.0903,120.5104,533.4843,121.36316,518.5824,121.06078,518.1458,124.81041,495.15787,144.83685,503.29956,158.8797,486.07257,199.4945,484.87088,216.8744,523.0205,215.07149,493.15524,249.56288,453.75375,241.05971,445.5811,245.28859,492.42245,312.65836,440.5165,325.65802,516.1329,399.88028,389.0292,398.40665
